id,isbn,penulis,tahun,judul,gambar,stok
20,316000973,Darren Shan,2002,"The Vampire Prince (Cirque Du Freak, #6)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,66
21,160096527X,G.K. Chesterton,1908,Orthodoxy,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,430
22,385529376,Ben Mezrich,2009,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",https://images.gr-assets.com/books/1320527444m/6326920.jpg,46
23,345452003,"Anne Tyler, Jennifer Bassett",1985,The Accidental Tourist,https://images.gr-assets.com/books/1502220282m/60792.jpg,87
24,1599908441,Trish Doller,2012,Something Like Normal,https://images.gr-assets.com/books/1336837143m/9403947.jpg,6
25,62300547,J.D. Vance,2016,Hillbilly Elegy. A Memoir of a Family and Culture in Crisis,https://images.gr-assets.com/books/1463569814m/27161156.jpg,30
26,1876175702,"Ernesto Che Guevara, Aleida Guevara March",1993,Diarios de motocicleta: notas de viaje por AmÃ©rica Latina,https://images.gr-assets.com/books/1354902593m/172732.jpg,100
27,60880120,Meg Cabot,2006,How to Be Popular,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,41
28,61836923,Dennis Lehane,2010,Moonlight Mile ,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,54
29,452285453,Tracy Chevalier,2003,The Lady and the Unicorn,https://images.gr-assets.com/books/1311281285m/89788.jpg,79
30,517502917,"Arthur Conan Doyle, William S. Baring-Gould",1967,The Annotated Sherlock Holmes,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,5
31,446618756,Carrie Vaughn,2008,Kitty and the Silver Bullet,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,18
32,1841492051,Orson Scott Card,2005,Shadow of the Giant,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,34
33,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,https://images.gr-assets.com/books/1428715580m/52036.jpg,972
34,1401200605,"Jeph Loeb, Jim Lee, Scott Williams",2002,Batman Hush #1,https://images.gr-assets.com/books/1460914534m/107017.jpg,24
35,1423109600,Mo Willems,2008,The Pigeon Wants a Puppy!,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,10
36,440421705,Carl Hiaasen,2002,Hoot,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,59
37,876855966,Charles Bukowski,1983,Hot Water Music,https://images.gr-assets.com/books/1428126071m/50453.jpg,54
38,1451617720,Jennifer Weiner,2010,Then Came You,https://images.gr-assets.com/books/1308787263m/9758764.jpg,27
39,031621129X,"James Patterson, Maxine Paetro",2014,Unlucky 13,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,41
40,446674575,James Redfield,1996,The Tenth Insight ,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,80
41,1595143203,Richelle Mead,2013,The Fiery Heart,https://images.gr-assets.com/books/1383243238m/9833184.jpg,25
42,446359203,Dan Simmons,1989,Carrion Comfort,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,38
43,7120710,Agatha Christie,1940,Sad Cypress,https://images.gr-assets.com/books/1396229541m/433035.jpg,174
44,679774386,"Boris Pasternak, Max Hayward, Manya Harari, John Bayley",1957,Ð”Ð¾ÐºÑ‚Ð¾Ñ€ Ð–Ð¸Ð²Ð°Ð³Ð¾,https://images.gr-assets.com/books/1385508725m/130440.jpg,330
45,812520475,Greg Bear,1984,Eon,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,55
46,385737947,James Dashner,2009,The Maze Runner,https://images.gr-assets.com/books/1375596592m/6186357.jpg,147
47,152026320,"Audrey Wood, Don    Wood",1984,The Napping House,https://images.gr-assets.com/books/1410229873m/815234.jpg,36
48,041330860X,Jean Anouilh,1944,Antigone,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,35
49,399158820,J.D. Robb,2013,Calculated in Death,https://images.gr-assets.com/books/1346079575m/15806231.jpg,33
50,1559362316,Tony Kushner,1993,Angels in America:  A Gay Fantasia on National Themes,https://images.gr-assets.com/books/1170797663m/72003.jpg,14
51,1423168232,Jennifer Lynn Barnes,2013,The Naturals,https://images.gr-assets.com/books/1374862751m/13597723.jpg,19
52,037571457X,"Marjane Satrapi, Mattias Ripa",2000,Persepolis,https://images.gr-assets.com/books/1425871473m/9516.jpg,39
53,312274920,Tony Hawks,1997,Round Ireland with a Fridge,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,20
54,006440630X,Karen Cushman,1995,The Midwife's Apprentice,https://images.gr-assets.com/books/1305983479m/15595.jpg,33
55,62351427,"Joseph Fink, Jeffrey Cranor",2015,Welcome to Night Vale,https://images.gr-assets.com/books/1447774088m/23129410.jpg,37
56,385523386,Piper Kerman,2010,Orange Is the New Black: My Year in a Women's Prison,https://images.gr-assets.com/books/1320520714m/6314763.jpg,69
57,765304961,Orson Scott Card,2008,"Ender in Exile (The Ender Quintet, #2)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,31
58,675093244,William Faulkner,1930,A Rose for Emily,https://images.gr-assets.com/books/1487468453m/426025.jpg,20
59,679750150,"Yukio Mishima, John Nathan",1963,åˆå¾Œã®æ›³èˆª [Gogo no eikÅ],https://images.gr-assets.com/books/1327629352m/162332.jpg,70
60,1554681723,Garth Stein,2006,The Art of Racing in the Rain,https://images.gr-assets.com/books/1377206302m/3153910.jpg,90
61,312367481,"Arlene Mosel, Blair Lent",1968,Tikki Tikki Tembo,https://images.gr-assets.com/books/1317064300m/551876.jpg,40
62,307270742,J. Courtney Sullivan,2009,Commencement,https://images.gr-assets.com/books/1392259807m/6080420.jpg,14
63,399158022,Patricia Cornwell,2011,Red Mist,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,48
64,000735049X,Cecelia Ahern,2014,How to Fall in Love,https://images.gr-assets.com/books/1373279911m/18161265.jpg,48
65,140009769X,"Nando Parrado, Vince Rause",2006,Miracle in the Andes: 72 Days on the Mountain and My Long Trek Home,https://images.gr-assets.com/books/1320544978m/454236.jpg,49
66,439771277,Karen Hesse,1997,Out of the Dust,https://images.gr-assets.com/books/1328867076m/25346.jpg,33
67,143914799X,Jennifer Estep,2010,Web of Lies,https://images.gr-assets.com/books/1262902266m/6933152.jpg,14
68,689823959,Livia E. Bitton-Jackson,1997,I Have Lived A Thousand Years: Growing Up In The Holocaust,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,16
69,1606840576,Bree Despain,2009,The Dark Divine,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,35
70,688114490,Kevin Henkes,1993,Owen,https://images.gr-assets.com/books/1415585883m/635083.jpg,21
71,4103534222,"Haruki Murakami, æ‘ä¸Š æ˜¥æ¨¹",2009,1Q84 Book 1 [Ichi-kyÅ«-hachi-yon],https://images.gr-assets.com/books/1329955413m/6443834.jpg,76
72,316067598,"Marcus Luttrell, Patrick Robinson",2006,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,https://images.gr-assets.com/books/1344265535m/711901.jpg,57
73,1401223176,"Jeph Loeb, Jim Lee, Scott Williams, Alex Sinclair, Richard Starkings",2002,Absolute Batman Hush,https://images.gr-assets.com/books/1342295000m/6375845.jpg,25
74,1579126251,Agatha Christie,1930,Murder at the Vicarage,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,216
75,425227723,Laurell K. Hamilton,2009,Skin Trade,https://images.gr-assets.com/books/1310494564m/5215879.jpg,31
76,671796666,"Sam Smith, Doug Grud",1992,The Jordan Rules,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,6
77,765328666,Kendare Blake,2012,Girl of Nightmares,https://images.gr-assets.com/books/1344463840m/12507214.jpg,34
78,380727501,Bill Bryson,1995,Notes from a Small Island,https://images.gr-assets.com/books/1479653223m/28.jpg,63
79,312577206,Kristin Hannah,2012,Home Front,https://images.gr-assets.com/books/1344319152m/12022079.jpg,27
80,1590170571,"Adolfo Bioy Casares, Suzanne Jill Levine, Jorge Luis Borges, Ruth L.C. Simms, Norah Borges de Torre",1940,La invenciÃ³n de Morel,https://images.gr-assets.com/books/1327960951m/94486.jpg,86
81,380709244,"Beverly Cleary, Louis Darling, Tracy Dockray",1965,The Mouse and the Motorcycle,https://images.gr-assets.com/books/1348990967m/232109.jpg,63
82,054705484X,Philip Roth,2008,Indignation,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,93
83,393072231,Michael   Lewis,2009,The Big Short: Inside the Doomsday Machine,https://images.gr-assets.com/books/1453470736m/6463967.jpg,57
84,446533424,Nelson DeMille,2008,The Gate House,https://images.gr-assets.com/books/1397190673m/3216451.jpg,47
85,446552445,Chelsea Handler,2010,Chelsea Chelsea Bang Bang,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,15
86,930289226,"Alan Moore, Stephen R. Bissette, John Totleben, Rick Veitch, Ramsey Campbell",1983,"The Saga of the Swamp Thing, Vol 20 - 27",https://images.gr-assets.com/books/1393967527m/102324.jpg,22
87,014303541X,Jasper Fforde,2004,Something Rotten,https://images.gr-assets.com/books/1479773726m/26999.jpg,47
88,1501101536,Katy Evans,2015,Manwhore,https://images.gr-assets.com/books/1421552037m/22892122.jpg,10
89,679785892,"Hunter S. Thompson, Ralph Steadman",1971,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,https://images.gr-assets.com/books/1394204569m/7745.jpg,98
90,439568404,R.L. Stine,1993,Night of the Living Dummy,https://images.gr-assets.com/books/1328867793m/125564.jpg,69
91,671023187,Vince Flynn,1997,Term Limits,https://images.gr-assets.com/books/1311847654m/85392.jpg,42
92,312424094,Marilynne Robinson,1980,Housekeeping,https://images.gr-assets.com/books/1327882949m/11741.jpg,58
93,62026518,Rae Carson,2012,The Crown of Embers,https://images.gr-assets.com/books/1335241091m/10816908.jpg,18
94,1476776881,Taylor Jenkins Reid,2015,Maybe In Another Life,https://images.gr-assets.com/books/1424970519m/23492661.jpg,18
95,345456327,David Eddings,1982,The Belgariad: Part One - Pawn of Prophecy / Queen of Sorcery / Magician's Gambit,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,13
96,1401360203,"Sergei Lukyanenko, Andrew Bromfield",2000,Ð”Ð½ÐµÐ²Ð½Ð¾Ð¹ Ð´Ð¾Ð·Ð¾Ñ€,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,59
97,778322955,Debbie Macomber,2005,A Good Yarn,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,40
98,316070521,Catherine Hardwicke,2009,Twilight Director's Notebook,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,14
99,316084220,Kody Keplinger,2012,A Midsummer's Nightmare,https://images.gr-assets.com/books/1327469139m/12813860.jpg,11
100,312330340,"Rusty Young, Thomas McFadden",2003,"Marching Powder: A True Story of Friendship, Cocaine, and South America's Strangest Jail",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,25
